100 7 5.5336
125 8 6.32411
150 6 4.74308
175 5 3.95257
200 3 2.37154
225 9 7.11462
250 5 3.95257
275 1 0.790514
300 0 0
325 2 1.58103
350 7 5.5336
375 11 8.69565
400 16 12.6482
425 21 16.6008
450 26 20.5534
475 30 23.7154
500 37 29.249
525 38 30.0395
550 38 30.0395
575 32 25.2964
600 40 31.6206
625 77 60.8696
650 112 88.5375
675 157 124.111
700 232 183.399
725 270 213.439
750 297 234.783
775 310 245.059
800 303 239.526
825 265 209.486
850 97 76.6798
875 90 71.1462
900 150 118.577
925 212 167.589
950 263 207.905
975 290 229.249
1000 301 237.945
1025 280 221.344
1050 210 166.008
1075 152 120.158
1100 90 71.1462
1125 148 116.996
1150 206 162.846
1175 113 89.3281
1200 60 47.4308
